14.761,14.761,14.618,14.487,13.862,13.862,13.216,19.049,19.049,18.917,18.917,19.015,0,0.41271,12.095,11.98,11.988,11.392,11.392,0,0,0,11.465,12.093,12.436,0.97106,0.98336,0,0,0,7.9808,13.411,13.833,5.8524,5.9589,0,0,0.11431,5.6231,5.6231,9.0231,3.4,3.4,0,0,6.6,6.6,6.6488,6.7146,0.047887,0.047887,0,0,5.0635,5.0635,12.628,12.534,7.4193,7.4193,0,0.23986,4.5259,4.5259,5.6746,5.829,1.2575,6.1562,4.9331,4.9331,4.9331,0,0,0,0,0,0,0.32883,0.32883,1.1663,1.1663
14.761,14.761,14.618,14.487,14.499,13.719,26.936,32.769,32.769,18.917,18.785,18.883,18.883,13.233,12.093,11.978,11.986,11.277,11.162,11.162,11.162,0,11.464,11.977,12.32,12.198,0.98336,0,0,0,7.962,13.331,13.753,11.911,5.9589,0,0,0.11431,5.5674,9.1007,8.9674,3.4,3.4,0,0,6.5333,6.5333,6.5822,6.7146,0.047887,0.047887,0,0.25456,5.0124,5.0124,12.58,12.534,7.4193,7.4193,0.23743,4.4801,4.4801,4.4826,5.8076,5.829,6.2527,6.1562,4.9331,4.9331,4.9331,0,0,0,0,0,0.91108,0.90003,1.163,1.1663,1.1663
0,0.62541,14.63,14.487,14.499,13.807,13.809,13.576,26.518,32.448,32.316,18.883,18.751,18.849,13.282,13.28,11.984,11.877,11.162,11.162,11.162,11.162,11.463,11.348,12.224,12.103,12.103,1.0091,0,0,7.9432,7.8196,13.787,11.964,5.9672,0,0,0.11431,5.5139,9.0473,8.8663,3.4667,3.4667,0,0,6.4667,6.4667,6.5155,0.048826,0.048826,0,0.25196,4.9612,4.9612,5.7004,12.58,7.5647,7.7997,0.23501,4.4344,4.4344,4.5721,5.7887,5.5678,1.2796,6.2748,5.0318,5.0318,4.901,0,0,0,0,0.91881,0.90776,1.1925,1.1761,1.163,2.3878,2.059
0,0,0.63744,0.63744,14.499,14.367,13.809,13.666,13.433,13.433,32.173,32.173,32.041,32.139,19.416,13.024,13.024,24.301,11.599,11.162,11.047,11.047,11.168,22.395,12.243,12.243,12.122,12.122,0,0,1.823,7.8196,13.901,13.888,12.079,0,0,0.11651,5.5161,9.0495,8.9329,8.9329,0,0,0,6.4667,6.4667,6.5164,0.049765,0.049765,0.25196,0.25196,4.9612,4.9612,12.806,12.468,7.9428,7.9428,4.432,4.5719,4.5719,5.765,5.5488,1.3039,6.3933,6.2991,4.9952,4.9952,0,0,0,0.60767,0.91548,0.91548,1.1892,1.1925,1.1761,2.4033,2.059,2.059
0.18606,0.18606,0.54934,0.63744,0.63744,0.64781,0.65983,13.666,13.525,13.433,13.29,19.451,31.996,31.853,31.819,32.287,13.022,12.89,12.898,23.453,11.047,11.047,11.053,11.052,22.164,12.242,12.007,12.007,11.675,0,1.8228,7.8008,13.883,13.808,12.017,5.9348,0.12091,0.11651,5.5161,8.9938,8.8773,8.8773,0,0,6.4,6.4,6.4516,6.5164,0.049765,0.29913,0.24937,4.9101,4.9127,5.677,12.551,7.9428,7.9428,7.2063,4.5284,4.5286,5.7436,5.5276,1.3061,1.3061,6.3956,4.9952,4.9952,4.9952,0.62976,0.61872,0.61872,0.92653,0.91548,1.2056,1.1892,1.1925,2.4274,1.5197,1.5009,1.2215
0.18606,0.18606,0.18606,0.74942,0.55971,0.64947,0.65983,0.6702,0.09142,13.526,13.383,13.29,19.406,19.263,31.819,31.715,32.103,25.615,25.615,12.612,23.206,23.206,10.932,10.935,10.935,23.076,12.026,11.912,11.56,10.884,0.012761,1.7854,13.979,13.842,12.07,11.836,0.12091,0.11871,0.11871,9.007,8.8883,8.8883,0,0,6.3333,6.3333,6.385,6.5174,0.29747,0.29747,0.24677,4.8615,4.8641,5.6042,12.793,8.0834,8.2278,4.4873,4.4851,5.4874,5.5086,1.3304,1.3304,6.4709,5.0895,5.0895,5.7303,0.62976,0.62976,0.93094,0.93094,1.2154,1.2023,1.2056,1.2003,3.0503,3.0315,2.7467,5.6819,5.6819
0.18606,0.18606,0.18606,0.18971,0.76343,0.76343,0.66149,0.67186,0.68222,0.093082,0.093082,0.094744,13.147,19.263,19.263,19.12,32.111,32.075,25.478,25.354,24.603,12.027,22.959,22.961,10.934,11.19,22.747,22.633,11.446,11.47,10.782,1.7853,8.078,13.938,13.877,11.774,5.9321,0.12091,0.12091,8.9549,8.8993,8.8993,5.2326,0,6.2667,6.2667,6.3183,0.29581,0.29581,0.24417,4.8104,4.813,5.5835,13.104,8.2289,8.373,11.678,4.444,5.4684,5.4896,5.5108,1.215,6.5872,5.278,5.8356,5.8356,5.8245,0.62976,0.94199,0.93094,1.2318,1.2265,2.7001,2.0847,3.0437,3.0403,5.7084,5.6665,5.6819,4.4416
0.18606,0.18606,0.18606,0.18971,0.19336,0.7738,0.77745,0.67352,0.68389,0.68389,0.093082,0.094744,0.094744,0,19.361,19.218,19.243,19.79,31.939,25.352,24.921,24.317,24.185,34.987,22.695,22.958,11.884,22.652,22.544,11.356,10.667,12.911,2.2112,14.034,13.911,11.712,5.8724,0.12311,0.12311,9.0216,8.9103,8.9103,5.1769,0,6.2,6.2535,6.4942,0.29416,0.29416,0.24417,4.7618,5.5325,5.5325,13.262,8.5207,12.545,11.767,5.4274,5.4706,5.4918,1.2371,1.2371,6.0462,5.9409,5.9298,5.9298,0.64081,0.93866,2.6899,2.6845,2.0581,2.0527,2.0661,3.0437,6.078,5.7844,5.7272,5.6853,9.416,9.416
0,0,0.19336,0.19336,0.19336,0.19336,0.78781,0.78781,0.79146,0.68555,0.69591,0.094744,0.094744,0.096406,0.098069,6.4541,6.4541,19.798,19.655,19.753,25.085,24.317,24.185,24.027,34.842,34.979,22.832,23.303,22.326,21.827,21.852,11.139,12.874,8.2762,14.026,11.946,5.8746,5.8746,0.12531,3.8,8.9769,8.9769,5.1769,6.2,6.2,6.2535,6.4951,0.2951,0.2951,4.9821,4.738,5.6809,5.6811,8.6638,8.6662,11.67,4.1704,5.4296,5.3287,1.9442,1.9442,6.1404,6.0462,6.0351,6.0241,2.0661,2.375,2.6813,2.0448,2.0394,2.0581,1.7459,3.0579,5.8451,10.957,10.973,10.818,7.8941,7.8941,7.8941
0,0,0,0,0.19701,0.19701,0.19701,0.78781,0.79146,0.79511,0.90022,0.70628,0.094744,0.096406,0.098069,0.098069,6.4541,6.6182,7.0777,19.751,19.706,12.767,24.185,23.91,23.881,23.749,34.692,35.032,34.917,33.326,21.852,21.496,12.741,18.798,13.535,11.946,12.095,5.8128,5.8128,3.8,8.9769,8.9213,5.1213,11.255,6.1333,6.4258,6.4925,0.2925,0.46205,4.687,5.6577,5.6323,13.444,8.6638,11.629,11.629,5.4327,5.9925,1.9553,1.9442,6.2457,6.1404,7.4297,7.4186,7.7209,2.364,2.0128,2.0261,2.0448,2.0394,7.2079,11.556,11.115,11.112,9.4816,9.4816,8.1062,8.0086,4.9744,4.9744
